"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDUSTRY","INDICATOR","GAS_TYPE","S_ADJUSTMENT","FREQUENCY","SCALE","DECIMALS_DISPLAYED","AEA","UNIT","OVERLAP","COUNTRY_COVERAGE","TIME_COVERAGE","DOI","FULL_DESCRIPTION","AUTHOR","PUBLISHER","DEPARTMENT","CONTACT_POINT","TOPIC","TOPIC_DATASET","KEYWORDS","KEYWORDS_DATASET","LANGUAGE","PUBLICATION_DATE","UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","ACCESS_SHARING_LEVEL","ACCESS_SHARING_NOTES","SECURITY_CLASSIFICATION","SHORT_SOURCE_CITATION","FULL_SOURCE_CITATION","LICENSE","SUGGESTED_CITATION","KEY_INDICATOR","SERIES_NAME","2010","2010-Q1","2010-Q2","2010-Q3","2010-Q4","2011","2011-Q1","2011-Q2","2011-Q3","2011-Q4","2012","2012-Q1","2012-Q2","2012-Q3","2012-Q4","2013","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016","2016-Q1","2016-Q2","2016-Q3","2016-Q4","2017","2017-Q1","2017-Q2","2017-Q3","2017-Q4","2018","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1"
"IMF.STA:AEA(7.0.0)","G110.B.GHG_MTCO2.CO2.SA.A","OBS_VALUE","Advanced Economies","Mining and quarrying","Air emissions, Metric ton of CO₂","Carbon dioxide","Seasonally adjusted (SA)","Annual","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","332.7746948","","","","","331.385406","","","","","336.6851876","","","","","349.208417","","","","","344.9363923","","","","","359.39677","","","","","340.9853951","","","","","361.1580441","","","","","427.651278","","","","","445.4369696","","","","","400.8500864","","","","","399.9866632","","","","","393.9503508","","","","","396.0164794","","","","","","","","","",""
"IMF.STA:AEA(7.0.0)","G110.H.GHG_MTCO2.GHG.NSA.Q","OBS_VALUE","Advanced Economies","Transportation and Storage","Air emissions, Metric ton of CO₂","Greenhouse gas","Not seasonally adjusted (NSA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","418.9526404","439.5612446","448.3891291","436.1362893","","420.3884885","440.682677","447.0319588","436.0532181","","423.3575429","437.2094164","437.6074942","429.4370573","","412.3848608","431.3466975","438.3165666","429.832992","","413.1750422","428.5766996","438.3673797","436.9358625","","421.8479259","441.6930817","447.1505282","446.1923809","","428.2193955","446.2507963","458.1071913","446.814603","","432.1852721","455.8197883","463.0242885","467.9122311","","450.0166231","478.0051095","487.4647828","477.9936548","","449.3291786","477.9605337","489.0145678","486.9610987","","455.2028398","320.805031","390.1900953","400.8514337","","383.0279557","416.6103497","447.0304477","446.9265666","","424.8420412","460.5895595","468.7196273","459.9735924","","439.5793179","466.5082708","476.2876772","464.5303244","","440.7654037","469.5797357","479.7491341","468.2854756","439.0593806"
"IMF.STA:AEA(7.0.0)","G110.IND_HH.GHG_MTCO2.N2O.SA.Q","OBS_VALUE","Advanced Economies","Total Industries + Total Households","Air emissions, Metric ton of CO₂","Nitrous oxide","Seasonally adjusted (SA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","192.2354921","195.5676471","199.1851257","205.440118","","202.305953","201.2257227","198.3287787","182.9219796","","180.9994825","188.1483827","192.1418009","192.6215879","","192.3612396","200.4554327","194.4576057","214.3992567","","214.9626177","197.0831731","196.9277757","205.26002","","213.7268945","201.2788152","203.2653272","189.0773723","","198.3598492","202.3900519","200.0223729","190.7448601","","185.4680149","199.8246292","197.2076224","205.868414","","189.8209029","190.1828133","188.1427855","192.6774776","","192.2404857","177.8886796","179.0393796","182.5460865","","172.5303811","174.1663674","178.0811081","174.3944475","","178.1801914","179.2809044","182.7568001","165.9051402","","175.1457564","171.8159354","170.3327034","172.6582726","","164.5330298","170.9483142","166.5795275","169.3764371","","174.0574687","168.5169581","174.359404","170.4447142","174.1146436"
"IMF.STA:AEA(7.0.0)","G110.C.GHG_MTCO2.F_GAS.SA.Q","OBS_VALUE","Advanced Economies","Manufacturing","Air emissions, Metric ton of CO₂","Fluorinated gases","Seasonally adjusted (SA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","19.20316972","20.00543548","20.6949223","20.96096751","","20.91806253","19.97227688","19.91507254","19.48653764","","20.16837696","20.19739946","19.88329816","20.16285166","","20.15727203","21.05987523","20.82583814","21.44345365","","21.38909316","21.20118231","21.40539221","20.74051079","","20.27721608","19.86907067","19.53014739","19.32443516","","19.42621098","19.24387721","19.94726671","19.86785342","","19.15654691","19.14875394","19.49617666","19.66707706","","20.43059087","20.88887851","20.51622623","20.59562585","","20.43181185","20.54048544","20.57872819","20.85236297","","21.14666191","19.10691863","20.4722129","20.72097615","","20.59306806","20.44364011","20.29634851","20.46594398","","20.34343643","21.16892925","20.66297105","20.75694201","","20.74218867","20.80412384","20.85770261","20.89235476","","21.03023238","21.05798075","22.00068923","21.41727214","21.79222216"
"IMF.STA:AEA(7.0.0)","G110.IND_HH.GHG_MTCO2.CH4.SA.Q","OBS_VALUE","Advanced Economies","Total Industries + Total Households","Air emissions, Metric ton of CO₂","Methane","Seasonally adjusted (SA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","427.6024962","430.6196554","431.9997891","427.6276475","","424.7043894","421.7193763","420.7518896","417.3649255","","410.8485339","405.0754101","403.1269181","402.7791863","","405.1899439","406.0388182","403.9197133","402.6968104","","401.5661982","400.0097537","400.9259022","401.6225066","","403.8380322","401.1693009","398.4318019","394.6414794","","390.5349796","388.3397334","388.7040192","392.1347766","","396.474902","398.9265111","393.0572604","386.5400183","","369.1674634","358.648096","350.2579221","345.8889499","","347.3967768","346.264978","348.1606833","351.6138007","","345.3787049","332.0687652","341.1401658","342.6360638","","340.9390358","339.0034881","335.7453215","333.3308484","","332.1417915","331.4023812","331.952899","332.0110598","","333.8754063","335.1227441","336.332963","337.6528152","","336.2466503","336.5853612","335.7033669","332.2060083","339.4331591"
"IMF.STA:AEA(7.0.0)","G110.B.GHG_MTCO2.F_GAS.SA.A","OBS_VALUE","Advanced Economies","Mining and quarrying","Air emissions, Metric ton of CO₂","Fluorinated gases","Seasonally adjusted (SA)","Annual","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","0.06441331","","","","","0.069464548","","","","","0.075334345","","","","","0.073380067","","","","","0.074800404","","","","","0.077079217","","","","","0.077526804","","","","","0.079730266","","","","","0.076767522","","","","","0.07984075","","","","","0.083377447","","","","","0.085664066","","","","","0.084446853","","","","","0.082613059","","","","","","","","","",""
"IMF.STA:AEA(7.0.0)","G110.S.GHG_MTCO2.CH4.SA.Q","OBS_VALUE","Advanced Economies","Other service industries","Air emissions, Metric ton of CO₂","Methane","Seasonally adjusted (SA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","83.38349929","84.39388267","84.21056094","83.48781774","","84.6976401","83.06383761","80.93046624","77.15119585","","73.05393356","68.91408917","67.14596186","67.99874285","","69.46056457","70.57680376","70.80347121","70.11559229","","69.32329021","69.32355315","69.69539459","69.52440194","","69.56460503","68.90248761","67.81243178","66.76607718","","65.02774226","64.26140983","64.5691368","67.69316891","","71.14884373","71.23769951","64.34048158","55.3477039","","39.5266491","29.66131836","24.2416657","23.59117816","","27.29675495","29.52925391","31.03632207","31.39471223","","30.47834672","28.04757088","28.00338715","28.43626582","","27.32391399","28.91910206","28.34522742","28.66143336","","28.30625704","28.02123027","27.65186123","27.45902131","","28.01670622","28.28791612","28.00487531","27.839892","","27.87787317","28.4866943","28.71224154","29.16473685","29.27904016"
"IMF.STA:AEA(7.0.0)","G110.IND_HH.GHG_MTCO2.N2O.SA.A","OBS_VALUE","Advanced Economies","Total Industries + Total Households","Air emissions, Metric ton of CO₂","Nitrous oxide","Seasonally adjusted (SA)","Annual","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","792.4283829","","","","","784.782434","","","","","753.911254","","","","","801.6735347","","","","","814.2335865","","","","","807.3484091","","","","","791.5171341","","","","","788.3686804","","","","","760.8239793","","","","","731.7146313","","","","","699.1723041","","","","","706.1230362","","","","","689.9526679","","","","","671.4373086","","","","","","","","","",""
"IMF.STA:AEA(7.0.0)","G110.D.GHG_MTCO2.CO2.NSA.Q","OBS_VALUE","Advanced Economies","Electricity, gas, steam and air conditioning supply","Air emissions, Metric ton of CO₂","Carbon dioxide","Not seasonally adjusted (NSA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","1156.352516","1042.934989","1209.020249","1118.594609","","1137.670569","1039.809118","1196.753788","1097.351399","","1118.507796","1023.7441","1174.055274","1097.94482","","1122.208751","1007.323534","1145.586287","1082.081634","","1121.343601","977.0404697","1112.125558","1042.743649","","1071.182144","942.3395559","1103.645721","969.1925994","","975.0795246","890.8960744","1094.914112","999.7650278","","992.4085792","886.8988964","1028.107182","965.6665573","","985.8457986","873.2076174","1053.238783","952.0154555","","931.6826724","796.2761963","967.0298341","856.6755044","","798.2875062","684.3451286","911.8729075","820.065964","","854.9534529","769.6559929","935.026289","816.54031","","845.7745716","752.4400788","908.0139357","786.4164162","","751.1240637","673.6925026","856.5776351","732.5574042","","750.4214097","665.5722324","842.90484","738.6255427","791.8026062"
"IMF.STA:AEA(7.0.0)","G110.C.GHG_MTCO2.CH4.SA.Q","OBS_VALUE","Advanced Economies","Manufacturing","Air emissions, Metric ton of CO₂","Methane","Seasonally adjusted (SA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","3.650503361","3.804898045","3.751187146","3.654842342","","3.801720837","3.629962792","3.7477451","3.680829374","","3.689795043","3.533082428","3.618040749","3.749707818","","3.694392277","3.717917098","3.754124509","3.769631118","","3.689559427","3.709070673","3.691691827","3.724516008","","3.681088854","3.886563556","3.817112115","3.68538169","","3.877089667","3.751229143","3.796543354","3.754303792","","3.838065383","3.925554887","3.843542797","3.965255986","","3.94010032","3.807250985","3.820392141","3.766732416","","3.836526347","3.894410466","3.820829516","3.932543888","","4.047589097","3.499452782","3.731844195","3.742006468","","3.762900193","3.93494134","3.8167039","3.786091612","","3.701298032","3.689752228","3.72744029","3.636425136","","3.657930671","3.680743505","3.724404518","3.750026656","","3.67192631","3.686605236","3.661916225","3.647966946","3.786012103"
"IMF.STA:AEA(7.0.0)","G110.S.GHG_MTCO2.CH4.NSA.Q","OBS_VALUE","Advanced Economies","Other service industries","Air emissions, Metric ton of CO₂","Methane","Not seasonally adjusted (NSA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","83.24970673","84.64006123","84.26720207","83.3187906","","84.57815152","83.29811519","80.98319478","76.98367831","","72.96632907","69.10664223","67.16826133","67.87149481","","69.42284509","70.71806878","70.78690345","70.02861451","","69.31217359","69.36296761","69.68425958","69.50723911","","69.62611582","69.00741989","67.65471976","66.75734612","","65.24857544","64.31770791","64.36489983","67.62027462","","71.29105797","71.30002002","64.2044869","55.27916383","","39.59466641","29.70915173","24.1800898","23.53690338","","27.28611113","29.55999124","31.07273798","31.3382028","","30.41222707","28.07332763","28.09138073","28.38863513","","27.23773532","28.95814925","28.44489042","28.60890184","","28.25119078","28.08215101","27.71599953","27.38902852","","27.95319036","28.22632152","28.01160539","27.95827239","","27.86297574","28.45160335","28.6833848","29.25967041","29.29299712"
"IMF.STA:AEA(7.0.0)","G110.HH_TOTAL.GHG_MTCO2.GHG.SA.A","OBS_VALUE","Advanced Economies","Total Households","Air emissions, Metric ton of CO₂","Greenhouse gas","Seasonally adjusted (SA)","Annual","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","2588.469744","","","","","2431.23708","","","","","2292.788942","","","","","2337.544618","","","","","2306.193814","","","","","2309.338529","","","","","2306.701094","","","","","2303.112001","","","","","2456.183997","","","","","2442.845317","","","","","2187.184016","","","","","2313.565315","","","","","2316.766815","","","","","2290.864509","","","","","","","","","",""
"IMF.STA:AEA(7.0.0)","G110.B.GHG_MTCO2.F_GAS.SA.Q","OBS_VALUE","Advanced Economies","Mining and quarrying","Air emissions, Metric ton of CO₂","Fluorinated gases","Seasonally adjusted (SA)","Quarterly","Units","","","","","","","","","","","","","","","","","","2026-03-27T23:51:02.972907600Z","2026-03-27T23:51:03.015498Z","","","Public (Unrestricted)","","","","","","","","","","0.015950723","0.015966937","0.015956701","0.016538949","","0.016782361","0.017228655","0.017414274","0.018039258","","0.018554568","0.01898141","0.01911604","0.018682327","","0.018334373","0.018146642","0.018343478","0.018555575","","0.018624828","0.018657946","0.018653779","0.018863851","","0.019172019","0.019260738","0.01929327","0.01935319","","0.019270562","0.019232977","0.019447259","0.019576006","","0.01987422","0.02019175","0.020024032","0.019640264","","0.019536569","0.019115423","0.019013527","0.019102003","","0.019157991","0.01960491","0.020357295","0.020720555","","0.020747976","0.020572061","0.020653822","0.021403588","","0.021480181","0.021651724","0.021383095","0.021149067","","0.021427749","0.021147943","0.020964391","0.020906769","","0.020822923","0.020589986","0.020544653","0.020655497","","0.02031208","0.020795308","0.021064072","0.020940503","0.02115528"
